3781 1843 (19, 39, -80) [2; 19, 2, 2]
3053 1247 (43, 9, -22) [2; 2, 4, 3]
1577 1387 (19, 22, -25) [1; 7, 3, 3]
3569 1247 (43, 7, -20) [2; 1, 6, 4]
2573 2077 (31, 21, -26) [1; 4, 5, 3]
2419 1003 (59, 5, -12) [2; 2, 2, 3]
2147 1501 (19, 7, -10) [1; 2, 3, 11]
2747 1139 (67, 5, -12) [2; 2, 2, 3]
2567 1139 (17, 4, -9) [2; 3, 1, 16]
3077 1003 (17, 15, -46) [3; 14, 1, 3]
2911 1271 (41, 7, -16) [2; 3, 2, 4]
2071 1577 (19, 16, -21) [1; 3, 5, 5]
3979 1403 (23, 6, -17) [2; 1, 5, 10]
3233 2257 (61, 7, -10) [1; 2, 3, 5]
3551 2881 (67, 13, -16) [1; 4, 3, 3]
2407 2117 (29, 22, -25) [1; 7, 3, 3]
3799 1537 (29, 17, -42) [2; 2, 8, 3]
3149 1363 (47, 13, -30) [2; 3, 4, 2]
3827 1763 (43, 6, -13) [2; 5, 1, 6]
3431 1241 (73, 4, -11) [2; 1, 3, 4]
